src_ip_entropy, src_port_entropy, dst_port_entropy, protocol_entropy, total_packets, label
1.0,-0.0,-0.0,-0.0,0,0
1.0,-0.0,-0.0,-0.0,8,0
1.0,-0.0,-0.0,-0.0,16,0
1.0,-0.0,-0.0,-0.0,24,0
1.0,-0.0,-0.0,-0.0,32,0
1.0,-0.0,-0.0,-0.0,40,0
1.0,-0.0,-0.0,-0.0,48,0
1.0,-0.0,-0.0,-0.0,56,0
1.0,-0.0,-0.0,-0.0,64,0
1.0,-0.0,-0.0,-0.0,72,0
1.0,-0.0,-0.0,-0.0,80,0
1.0,-0.0,-0.0,-0.0,88,0
1.0,-0.0,-0.0,-0.0,96,0
1.0,-0.0,-0.0,-0.0,104,0
1.0,-0.0,-0.0,-0.0,112,0
1.0,-0.0,-0.0,-0.0,120,0
1.0,-0.0,-0.0,-0.0,128,0
1.0,-0.0,-0.0,-0.0,136,0
1.0,-0.0,-0.0,-0.0,144,0
1.0,-0.0,-0.0,-0.0,152,0
1.0,-0.0,-0.0,-0.0,160,0
1.0,-0.0,-0.0,-0.0,168,0
1.0,-0.0,-0.0,-0.0,172,0
1.0,-0.0,-0.0,-0.0,184,0
1.0,-0.0,-0.0,-0.0,188,0
1.0,-0.0,-0.0,-0.0,196,0
1.0,-0.0,-0.0,-0.0,208,0
1.0,-0.0,-0.0,-0.0,212,0
1.0,-0.0,-0.0,-0.0,220,0
1.0,-0.0,-0.0,-0.0,228,0
1.0,-0.0,-0.0,-0.0,236,0
1.0,-0.0,-0.0,-0.0,244,0
1.0,-0.0,-0.0,-0.0,252,0
1.0,-0.0,-0.0,-0.0,260,0
1.0,-0.0,-0.0,-0.0,268,0
1.0,-0.0,-0.0,-0.0,276,0
1.0,-0.0,-0.0,-0.0,284,0
1.0,-0.0,-0.0,-0.0,292,0
1.0,-0.0,-0.0,-0.0,300,0
1.0,-0.0,-0.0,-0.0,308,0
1.0,-0.0,-0.0,-0.0,316,0
1.0,-0.0,-0.0,-0.0,324,0
1.0,-0.0,-0.0,-0.0,332,0
1.0,-0.0,-0.0,-0.0,340,0
1.0,-0.0,-0.0,-0.0,348,0
1.0,-0.0,-0.0,-0.0,356,0
1.0,-0.0,-0.0,-0.0,364,0
1.0,-0.0,-0.0,-0.0,372,0
1.0,-0.0,-0.0,-0.0,380,0
1.0,-0.0,-0.0,-0.0,388,0
1.0,-0.0,-0.0,-0.0,6,0
